region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
Northwest,Momo,2028,14.134627805586888,-0.8903035685451319,0.978465720044263
Northwest,Ngoketunjia,2026,15.949841168070407,-0.8718940343310112,0.9701735022135962
Northwest,Ngoketunjia,2028,14.206053099408336,-0.8718940343310112,0.9701735022135962
Northwest,Northwest,2026,28.949287622439897,-0.16021816562778268,0.26349118825079554
Northwest,Northwest,2028,28.628851291184333,-0.16021816562778268,0.26349118825079554
South,Dja-et-Lobo,2026,17.035792129162473,-0.8414833501513621,0.9873628078756647
South,Dja-et-Lobo,2028,15.35282542885966,-0.8414833501513621,0.9873628078756647
South,Mvila,2026,20.01228948314474,-0.8386106578910981,0.9750516533730174
South,Mvila,2028,18.33506816736235,-0.8386106578910981,0.9750516533730174
South,Ocean,2026,18.882391478741283,-0.9056466708262767,0.9724945761241474
South,Ocean,2028,17.07109813708871,-0.9056466708262767,0.9724945761241474
South,South,2026,27.782502226179872,-0.17442119323241323,0.26072499265018556
South,South,2028,27.433659839715062,-0.17442119323241323,0.26072499265018556
South,Vallee-du-Ntem,2026,17.147758145235457,-0.8298948013481768,0.9878542162946127
South,Vallee-du-Ntem,2028,15.487968542539193,-0.8298948013481768,0.9878542162946127
Southwest,Fako,2026,16.384115523465653,-0.8437483490358375,0.9753879893232583
Southwest,Fako,2028,14.696618825394125,-0.8437483490358375,0.9753879893232583
Southwest,Koupe-Manengouba,2026,17.42642838042616,-0.8104822176664584,0.9548637790279455
Southwest,Koupe-Manengouba,2028,15.805463945093152,-0.8104822176664584,0.9548637790279455
Southwest,Lebialem,2026,17.6367254939571,-0.8228467293305197,0.9837783086404978
Southwest,Lebialem,2028,15.991032035296257,-0.8228467293305197,0.9837783086404978
Southwest,Manyu,2026,16.70767448079141,-0.8244941616899902,0.9705640514302405
Southwest,Manyu,2028,15.058686157411557,-0.8244941616899902,0.9705640514302405
Southwest,Meme,2026,15.28901840490812,-0.9232427695004376,0.9838530963812214
Southwest,Meme,2028,13.442532865907197,-0.9232427695004376,0.9838530963812214
